publish_date,headline,description
2/28/20,"The Secret History of Los Angeles, An Urban Explorer’s Guide","Most visitors might smirk at the idea of ‘old’ in a city obsessed with reinvention. But L.A.’s romanticized past is in vogue, with the newest hot spots housed in reborn relics. Here, the hotels, classic restaurants, rooftop bars and gilded theaters that are buzzing again"
2/28/20,The Week That Wiped $3.4 Trillion Off the Stock Market,"U.S. stocks were at record levels just last week, seemingly unaffected by fears that the coronavirus could dent the global economy. Then reality took hold."
2/28/20,Today’s Logistics Report: Freight’s Longer Recovery Road; Economy’s Rebound; Cars Take Flight,Today’s Top Supply Chain and Logistics News From WSJ
2/28/20,Got a Birkin Bag to Sell? That’s a Problem for Hermès,"Birkin and Kelly handbags are more expensive to buy secondhand than new, making it hard for the French luxury brand to take control of the growing resale market"
2/28/20,"‘Socialism’: A Disputed Name for a Cause, From Marx to Bernie Sanders","Since the term first appeared in English in the 19th century, what it signifies has depended on who uses it and whether they are for it or against it"
2/28/20,Swarms of Locusts Destroy Huge Swaths of Farmland in East Africa,
2/28/20,"A Medieval Football Game, Still Going Strong","In Ashbourne, England, thousands of residents join in an annual match that has defined the town for centuries."
2/28/20,Appeals Court Won’t Force Ex-Trump Counsel to Comply With House Subpoena,"Judges can’t resolve subpoena dispute between White House, Congress, according to divided decision"
2/28/20,"Photos of the Week: Feb. 22-28, 2020","Harvey Weinstein convicted of sex crimes, U.S. stocks slide into a correction over virus fears, Fury defeats Wilder for WBC heavyweight championship and more"
2/28/20,Samsung’s Galaxy S20 Ultra Has a 100X Zoom Camera. So We Tested It With a Private Eye.,"Samsung’s new high-end flagship phone has a camera with unprecedented digital zoom…so is it crazy cool, super-creepy, or both? "
2/28/20,"FDA Cites Shortage of One Drug, Exposing Supply-Line Worry",China is key supplier of chemical and raw materials and other pharmaceutical ingredients for medicines 
2/28/20,Benny Gantz Puts His Anti-Netanyahu Coalition Up to a Vote for Third Time,Former army chief of staff seeks to draw voters disenchanted with long-serving incumbent
2/28/20,Drought Fears Rise in California,Lack of rain depletes snowpack on which state relies for water; scientists cite climate change as possible cause
2/28/20,Activist Investor Robbins Closing His Firm,The $2 billion fund is latest hedge fund to call it quits as market dynamics shift toward lower fees and more ‘passive’ investing processes
2/28/20,The Hollywood Drama That Cost a BlackRock Fund $75 Million,The investment giant fired a fund manager over a conflict of interest after his daughter got a screen role in a movie he financed
2/28/20,Accountant Pleads Guilty Ahead of Trial in Panama Papers Case,Richard Gaffey is the second individual to plead guilty in a tax-evasion case linked to documents leaked from a Panama law firm
2/28/20,Europe’s Face-Off With China,"Countries that once saw Xi Jinping as a possible ally 
		
			
		
	on global issues now find themselves resisting Beijing’s authoritarian sway"
2/28/20,"Leap-Year Babies Fight a Lonely, Quadrennial Fight for Recognition","Those born on Feb. 29 just want to be acknowledged by DMVs, retailers and others whose computers don’t recognize their birth date"
2/28/20,Delta Air Lines CFO Departs as Airline Industry Faces Coronavirus Impact,Paul Jacobson’s exit comes after eight years in the top finance role 
2/28/20,Should Amazon Be Responsible When Its Vendors’ Products Turn Out to Be Unsafe?,Critics of Amazon say legal precedents justify holding the company liable for third-party sellers’ products. Others say Amazon’s scale makes it unfeasible to do so.
2/28/20,Harley CEO Levatich Steps Down,Motorcycle maker’s U.S. sales have dropped for five straight years
2/28/20,"Stocks Fall Sharply, Dow Faces Biggest Weekly Losses Since 2008","Dow industrials fall about 800 points, now about 15% below high"
2/28/20,Cardinal Health Settles for $8.8 Million With SEC in FCPA Case,"The pharmaceutical distributor didn’t have sufficient internal controls in place, U.S. securities regulators said"
2/28/20,Euro’s Surge Shows Power of Carry Trades Unwinding,Eurozone currency has rallied against the dollar even though the economy looks set for a shock 
2/28/20,"Wayfair Copied Amazon to Grow Fast. Now, It Searches for Profits",Online furniture seller’s quarterly loss more than doubles as spending outstrips sales growth 
2/28/20,Some Southern Democrats Say Sanders Nomination Would Hurt Down-Ballot Candidates,"Party leaders in Carolinas, Florida worry about a democratic socialist as the Democratic nominee"
2/28/20,"Past Strains Between Boeing, FAA Threaten MAX Simulator Plans",FAA experts who were mocked by plane maker’s staff are tasked with approving new training regimen 
2/28/20,Rubio Seeks Grant Program Review After Harvard Professor Charged Over China Ties,Letter asks for details on how Small Business Administration ensures high-tech startups don’t have improper ties to foreign entities
2/28/20,Former Barclays Executives Acquitted of Fraud Charges Dating Back to 2008 Financial Crisis,Case focused on funds raised by the London-based bank from Qatari investors 
2/29/20,"Joe Biden Wins South Carolina Democratic Presidential Primary, AP Projects",
2/29/20,The Week That Wiped $3.6 Trillion Off the Stock Market,"U.S. stocks were at record levels just last week, seemingly unaffected by fears that the coronavirus could dent the global economy. Then reality took hold."
2/29/20,"U.S. Reports First Coronavirus Death, Imposes New International Travel Restrictions",The patient who died didn’t have any travel history to areas where virus was circulating
2/29/20,"U.S., Taliban Sign Deal Meant to End America's Longest War",Agreement paves the way for Washington to quickly reduce the number of American troops in Afghanistan
2/29/20,‘Contagion of Prayer’: Italian Priests Stoke Devotion in Faithful Isolated by Virus,"Clergy are ministering in quarantined towns, using old and new media to raise spirits and encourage a religious perspective on the epidemic"
2/29/20,Thousands Rally in Moscow Against Putin’s Plans to Revamp Political Power in Russia,Protesters commemorated a slain opposition leader in a rebuke to what they see as Vladimir Putin’s formula for staying in power once his final term expires
2/29/20,Leap Years and Other Cyclical Oddities,"When two cycles don’t exactly match, the result can be messy—and sometimes beautiful."
2/29/20,Trader Joe’s Founder Brought Exotic Foods to U.S. Shoppers,"Joe Coulombe imbued stores with passion for food, wine and good deals"
2/29/20,China Touts Coronavirus Recoveries as U.S. Reports Three Cases With No Known Exposure,"South Korea reported more than 800 new cases, the most of any country caught up in the epidemic"
2/29/20,Valentino’s Pierpaolo Piccioli on ‘The Devil Wears Prada’ and Sneakers,"Ahead of the Italian brand’s womenswear show in Paris, the designer divulges his favorite films, artists, footwear and breakfast foods"
2/29/20,Maine Referendum Targets Vaccine-Exemption Limits,"On Super Tuesday, voters will decide whether to overturn new law halting nonmedical exemptions "
2/29/20,Elliott Management Nominates Four Directors to Twitter’s Board,Move sets the stage for potential showdown between the activist hedge fund and social-media company
2/29/20,"Malaysia Names New Prime Minister, Capping Week of Political Turmoil",Political coalition opposed to the appointment says he lacks majority support
2/29/20,Push to Roll Back Auto-Emissions Rules Hits a Roadblock,"Friction between the federal agencies drafting the regulations threatens further delays, frustrating auto makers"
2/29/20,FDA to Allow Labs to Begin Use of High-Complexity Tests for Coronavirus,Policy means certain labs can begin immediate tests for coronavirus 
2/29/20,"After a Disaster, Some Homeowners’ Next Misfortune Is Mortgage Relief","Mortgage lenders sometimes tell borrowers they can skip a few payments after a hurricane, flood or brush fire—but then their troubles can really begin"
2/29/20,Macron Bypasses Lawmakers to Pass France Pension Overhaul,The move can only be blocked by a successful vote in the legislature censuring the government 
2/29/20,America’s Longest War: A Visual History of 18 Years in Afghanistan,U.S. forces are set to withdraw amid questions over whether the current peace will hold 
2/29/20,"China Touts Slowing Coronavirus Toll, as South Korean Cases Rise",Health officials in the state of Washington reported the first coronavirus death in the U.S.
2/29/20,Alabama Senate Primary Becomes Test of Loyalty to Trump,Top Republicans on Tuesday’s ballot are competing to show their allegiance to president
2/29/20,Erdogan Says Turkey Won’t Stop Migrants Streaming Into Europe,"The move, aimed at convincing the EU to provide more humanitarian aid, comes as Turkey suffers mounting troop losses in Syria "
2/29/20,Trader Joe’s Founder Joe Coulombe Dies,
2/29/20,South Carolina Votes in Critical Showdown for Joe Biden,
2/29/20,The Mystery of What Drives Bob Iger,"Before this week, he had seemed congenitally unable to quit. Was it the neurochemical pleasure of the pursuit? 
		
			"
3/1/20,Israel Is Voting for the Third Time in a Year. Bring On the Ice Cream and Trash Cans.,"As Israelis head back to the polls, companies are trying to tap into voter frustration; ‘it’s a joke’"
3/1/20,The Questions You Wish You Had Asked Your Parents,"Adult children often wait until it’s too late to truly understand their parents. Now, that’s starting to change; ‘I wish I knew.’ "
3/1/20,Businesses Fret Over Potential Bernie Sanders Presidency,"The lifelong critic of capitalism and big business has proposed major changes for industries including health, energy and finance, but his targets see limits to his ability to implement his boldest ideas"
3/1/20,New York Leaders Miffed by Mayor Bloomberg’s Take on History,"Campaign-trail claims for credit on schools, criminal justice and lobbying for same-sex marriage are disputed"
3/1/20,Bloomberg’s Billions,Michael Bloomberg’s spending on politics and charity is a proxy for his beliefs
3/1/20,"Cuccinelli Served Illegally in Top Immigration Post, Court Rules",Decision invalidates change to asylum policy put in place last year 
3/1/20,The Lonely Marathon Japan Ran to Protect Olympics From Coronavirus,Staff held up signs along the course that said: ‘Please refrain from coming to watch.’ Athletes ran along stretches of empty streets.
3/1/20,Archery Dodgeball Delivers Exactly What It Promises,
3/1/20,Coronavirus Cases Mount as Second Person Dies in U.S.,"Rhode Island and New York confirm first cases of the virus, while number of cases in King County, Wash., rises"
3/1/20,Not in My Backyard: States Seek to Abolish ICE Detention Centers,Some left-leaning communities aim to undermine federal agency’s ability to confine immigrants
3/1/20,"Treasury Yields Dip, Stock Markets Regain Ground",The yield on the benchmark 10-year debt dropped to as low as 1.031%
3/1/20,Specialty Grocers Lose Their Edge,
3/1/20,"Colombia Weighs Legalizing Abortion, a First for Big Latin American Countries",The potential ruling would represent a milestone in a region where abortion is largely restricted 
3/1/20,Venice’s High Tides Receded. Now Tourism Is Running Dry.,
3/1/20,Bloomberg Campaigns on Crisis Management: ‘I’m Not a Blowhard’,The former New York City mayor is pitching himself as a competent leader capable of tackling issues such as coronavirus
3/1/20,Wall Street Prepares for Another Unruly Week,Even those on  trading desks have struggled to keep pace with the market tumult
3/1/20,Officials Feared U.S.-Taliban Deal Could Collapse Up Until the Last Minute,"Suspicion stalked talks that led to a framework for containing terrorism, reducing violence and withdrawing U.S. troops"
3/1/20,Immigration Is Helping Shield Canada From Global Slowdown,Rising numbers of immigrants and a partial focus on more potentially productive ones has expanded the workforce and boosted the economy 
3/1/20,"Turkey Shoots Down Two Syrian Jet Fighters, Testing Russian Resolve to Support Assad",Turkey’s offensive comes as Syrian forces continue offensive to take the last rebel enclave after years of civil war
3/1/20,AmEx Staff Misled Small-Business Owners to Boost Card Sign-Ups,Questionable sales tactics cropped up in push to retain cardholders after Costco partnership ended  
3/1/20,"Walmart, Verizon in Talks to Test 5G Services in Some Stores",Retailer would install rooftop antennas to test faster connectivity in new health clinics 
3/1/20,Warren’s Ground Game Faces Biggest Test on Super Tuesday,
3/1/20,Democrats Race to Super Tuesday States With Time Running Short,Candidates seek to capitalize on exits of Pete Buttigieg and Tom Steyer after South Carolina’s Democratic primary 
3/1/20,Coronavirus Is Different. It’s Rapidly Hitting Supply and Demand.,"Fast-spreading disease snarls factories, business travel; White House vows epidemic is ‘not going to sink the U.S. economy’"
3/1/20,Pete Buttigieg Ends Democratic Presidential Bid,"Former South Bend, Ind., mayor ran campaign built around a call for generational change"
3/2/20,"Nicaraguan Priest, Poet and Revolutionary, Dies","Ernesto Cardenal, born into a wealthy family, allied with leftist Sandinista revolutionaries and clashed with the Vatican before breaking with President Ortega"
3/2/20,Election-Weary Israelis Vote for Third Time to Try to Break Deadlock,Israel is voting for the third time in under a year after previous attempts have failed to return a government 
3/2/20,Barclays Shareholder Calls for CEO to Leave Over Epstein Links,Sherborne Investors said the bank’s board should reverse its decision to recommend Jes Staley for re-election
3/2/20,Dow Industrials Rally 5.1% on Central-Bank Stimulus Hopes,"Blue-chip index adds nearly 1,300 points in record point move as investors bet on lower interest rates"
3/2/20,Nokia CEO Rajeev Suri Is Stepping Down at Telecom-Equipment Maker,Finnish company has been struggling to take advantage of a global shift to 5G mobile networks
3/2/20,Turkey’s Syria Border Becomes Ground Zero for Geopolitical Crisis,The largest exodus in Syria’s nine years of conflict has overwhelmed the ability of aid workers to respond—and military tensions threaten to spiral out of control.
3/2/20,"Biden vs. Sanders? Yes, But What About Chuck D vs. Flavor Flav.",
3/2/20,ViacomCBS’s Pluto TV Boosts Marketing as Free Streaming Services Intensify Fight,"As the subscription streaming wars heat up, free TV services are also looking to lure viewers "
3/2/20,Super Tuesday to Test Whether Bloomberg’s Ad Presence Pays Off,Former New York City mayor has run the most television ads in Super Tuesday states   
3/2/20,A Day in the Life of Kanye West’s Set Designer,"David Korins, who also designed the sets for ‘Hamilton,’ on redesigning New York City institution the Drama Book Shop"
3/2/20,Greek Soldiers Called In to Block Migrant Crossings at Turkish Border,EU officials back Athens’ strict border control measures in test of bloc’s eastern borders 
3/2/20,Supreme Court Will Hear First Major Abortion Case Since Two Trump Appointees Joined,Case will test new conservative makeup’s approach to precedent 
3/2/20,CIOs Act as Companies’ Glue During Coronavirus Disruptions,IT leaders are playing a role in crafting contingency plans in addition to making sure technology is running smoothly
3/2/20,Nokia’s New Boss Must Learn to Fight Huawei,"The Finnish telecom-gear maker is shaking up its leadership, having admitted it needs to invest more in 5G technology   "
3/2/20,Two Chinese Nationals Indicted in Alleged North Korean Bitcoin Hack,U.S. says the men helped launder some of $250 million in stolen bitcoin and other virtual currencies 
3/2/20,"Jack Welch, Legendary CEO of General Electric, Dies at Age 84","GE executive led conglomerate with hard-nosed tactics for 20 years, then saw it dismantled"
3/2/20,"Sports Service DAZN, Streaming Rival to ESPN, Plots Global Expansion",Company known for its boxing content is expanding its sports rights and plans to launch in over 200 markets
3/2/20,Saudis Renew Push for Output Cuts as Coronavirus Weakens Oil Business,"Outbreak is fueling Saudi Arabia’s push for supply cuts, hurting the oil industry’s profits and leading to project delays "
3/2/20,"Chris Matthews to Leave MSNBC Amid Controversy, Sanders Remarks","Cable channel’s decision to release 74-year-old anchor from contract was mutual, according to source"
3/2/20,U.S. Orders Cap on Chinese State Media Personnel,State Department to force reduction to 100 employees from 160
3/2/20,"In ‘ZeroZeroZero,’ A Gritty and Global View on the Drug Trade",The eight-part Amazon series is the latest to dig into international crime
3/2/20,Sarah Jessica Parker and Matthew Broderick Unite on Broadway,"In a conversation with their ‘Plaza Suite’ director, John Benjamin Hickey, the pair reflect on theater, marriage and gratitude: “I’m not bitter about what I have been given. But people are always wanting me to say how burdened I feel by Carrie Bradshaw, which couldn’t be further from the truth.”"
3/2/20,Tim Cook and Apple Bet Everything on China. Then Coronavirus Hit.,"Quarantines, tariffs and slumping sales have caused agitation about the company’s strategy of assembling most of its products there"
3/2/20,Novartis Unit to Pay $195 Million in Generic Drug-Price Fixing Case,"Sandoz admitted it was guilty of participating in several conspiracies to rig bids, fix prices"
3/2/20,Canceled Games and Empty Stadiums: Will the Coronavirus Spread to Sports?,An industry built on live entertainment and big crowds wonders what happens if people have to stay at home
3/2/20,"Global Growth to Slow Sharply as Coronavirus Takes Heavy Toll, Says OECD","Global output is expected to fall during the first three months of this year, putting the economy at risk of recession "
3/2/20,Lyft and Uber Start Spending to Unseat California Legislators,Lyft puts $2 million behind push to defeat assemblyman; ‘They’re trying to send a message to all legislators’
3/2/20,Colombia Upholds Abortion Laws as Legalization Battle Shifts to Argentina,Both countries have become the focus of activists working to loosen Latin America’s strict laws against the procedure
3/2/20,Tom Brady and the Wildest NFL Off-Season Ever,Brady has been with the New England Patriots for two decades. Now he could be on the move in an off-season that could see an unprecedented game of quarterback musical chairs.
3/2/20,Trump to Meet With GOP Lawmakers Amid Fight Over Curtailing U.S. Spying Powers,"Privacy hawks Rand Paul and Mike Lee to attend meeting, as well as Attorney General William Barr "
3/2/20,Coronavirus Spreading Faster Outside China Than Within,"Global death toll surpasses 3,000, as new cases jump in Italy, Iran and South Korea "
3/2/20,Are You Lonely? You’re Not Alone,"A new book from former U.S. Surgeon General Vivek Murthy explains why many Americans feel lonely, and what we can do about it "
3/2/20,Xerox Moves to Buy All of HP’s Shares in Public Takeover Bid,HP has resisted the deal while saying it is open to a combination on different terms 
3/2/20,Inventive Percussion Without a Drum in Sight,"At a recent concert, the quartet Sō Percussion played glasses of water, blocks of wood, colored tape and more. "
3/2/20,‘Heavy Light’ by U.S. Girls Review: An Ideal Introduction to Genre Experimentation,Forcefully expressive music gleefully draws from across rock and pop history to create sometimes-surreal juxtapositions. 
3/2/20,Collision of Two White Dwarf Stars Offers Clues About Rare Cosmic Events,Resulting massive star is one of only a handful of merged white dwarfs to be identified so far
3/2/20,Herbalife Sets Aside $40 Million for Bribery Settlement,The Los Angeles multilevel-marketing company is looking to resolve investigations by the Justice Department and the SEC 
3/2/20,"Dow Industrials, S&P 500 Move Higher on Stimulus Hopes",The Bank of Japan joins the U.S. Federal Reserve in pledging to take action if needed.
3/2/20,North Korea Fires Two Apparent Missiles in Its First Test This Year,Pyongyang launched two missiles into the waters between South Korea and Japan
3/2/20,Bolo Ties: How Western Neckwear Staged a Comeback,"Fueled by a revived interest in westernwear, the bolo tie is popular again, popping up on celebs like Post Malone and Lil Nas X and at fashion brands like Prada"
3/2/20,Novartis Unit to Pay $195 Million in Generic-Drug Price-Fixing Case,"Sandoz admitted it was guilty of participating in several conspiracies to rig bids, fix prices"
3/2/20,"Puerto Rico Utility Deal Stumbles, Shaking Muni Investors",Municipal bondholders turned bullish on Puerto Rico’s troubled utility just as elected officials vetoed a politically unpopular repayment plan 
3/2/20,Supreme Court to Review Affordable Care Act Next Term,Justices to weigh lower-court ruling that tossed out ACA’s individual insurance mandate
3/2/20,WeWork Names Former Baker Hughes Executive as CFO,Kimberly Ross will oversee the finances of the office-sharing startup as it struggles to become profitable
3/2/20,AT&T Adds Another TV Option to Lure Cord-Cutters,"Internet-based AT&T TV closely resembles DirecTV service, but sidesteps the satellite dish"
3/2/20,Amtrak Hires Atlas Air CEO William Flynn to Run National Passenger Railroad,New boss is Amtrak’s third straight CEO from private sector amid a multi-year turnaround
3/2/20,Are You Lonely? You’re Not Alone.,"A new book from former U.S. Surgeon General Vivek Murthy explains why many Americans feel lonely, and what we can do about it "
3/2/20,Biden and Sanders Offer a Choice: Unite or Fight?,Vermont senator talks of waging a pitched battle against the status quo. Former VP proposes a return to normalcy that prevailed before Trump.
3/2/20,Grammy Organization Fires CEO,Recording Academy ousts Deborah Dugan amid conflicting harassment claims 
3/2/20,White House Drops Nominee Who Questioned Ukraine Aid Suspension,Nominee had warned that withholding aid could violate law
3/2/20,The Gyms That Want You to Leave ASAP,A new group of fitness clubs based around the idea of biohacking say their short workouts provide the strength benefits of traditional weights in a fraction of the time
3/2/20,U.S. Coronavirus Death Toll Climbs to Six as Virus Spreads World-Wide,Four new deaths linked to the coronavirus have been reported in Washington state
3/2/20,Coronavirus Heaps Misery on Europe’s Ailing Banks,Shares of European lenders are pummeled again following steep declines last week   
3/2/20,Pentagon Likely to Get First African-American Senior Leader Since Powell,White House is expected to name Gen. Charles Brown chief of staff of Air Force 
3/2/20,Dow Industrials Rally 5% on Central-Bank Stimulus Hopes,"Blue-chip index adds nearly 1,300 points in record point move as investors bet on lower interest rates"
3/2/20,Point72’s Head Quant Is Leaving the Firm,Ross Garon to step down from post at Cubist Systematic Strategies unit
3/2/20,Israel Election Exit Polls Put Netanyahu Ahead of Challenger,Prime minister appears to have edge over rival Benny Gantz to form government after a prolonged deadlock
3/2/20,"Dow Industrials, S&P 500 Climb on Stimulus Hopes",U.S. indexes rise more than 2% as Bank of Japan joins Fed in pledging to take action if needed.
3/2/20,Moderate Democrats Consolidate Around Biden Ahead of Super Tuesday,Biden and Bloomberg both pitch themselves as the candidate capable of stopping front-runner Bernie Sanders
3/2/20,Amy Klobuchar Ends Democratic Presidential Campaign,The Minnesota senator will endorse former Vice President Joe Biden
3/2/20,Supreme Court Weighs Government’s Power to Rapidly Deport Asylum Seekers,Two cases pit authorities’ campaign to curb immigration against guarantees of due process 
3/2/20,Coronavirus Hits Once-Isolated U.S. Natural Gas Market,"Epidemic deals latest blow to domestic producers, exposing global links developed since start of shale boom"
3/2/20,Meat Stockpiles Surge as Coronavirus Epidemic Curbs Exports,"Chicken, pork and beef stack up in cold storage across the U.S. "
3/2/20,U.S. Coronavirus Cases Climb as Virus Spreads Worldwide,"Global death toll surpasses 3,000, as new cases jump in Italy, Iran and South Korea, also rise in U.S. "
3/3/20,"Most People Forgot This Car, But He Never Did",
3/3/20,Saudi Fund Hires Former McKinsey Consultant to Help Run Strategy,Jerry Todd’s recruitment comes as some officials question the roughly $300 billion sovereign-wealth fund’s strategy
3/3/20,Canadian National Railway Aims to Sharply Cut Freight Backlog This Week,CEO of Canada's largest railroad says supply-chain network may not return to normal until April after last month’s blockades
3/3/20,Publisher Delays John Bolton’s Book Amid Government Review,Simon & Schuster shifts release date to May 12 from March 17 
3/3/20,The Terror of Teen Drivers: Parents Track Their Kids Without Being in the Car,"Apps allow parents and insurers to track teen drivers, though sometimes it backfires "
3/3/20,On Thin Ice: Too Much Slush Makes Ice Fishing a Risky Business,
3/3/20,The Six Best-Designed Items of March,"Our design- and fashion-minded editors on the most compelling happenings, items and events of the month"
3/3/20,A High School Crush Inspired Larry Poons’s First Work of Art,
3/3/20,Honeywell to Roll Out Quantum Computer,JPMorgan has signed up as first public user for what Honeywell says will be world’s most powerful quantum machine
3/3/20,Stocks Fall Sharply Despite Surprise Fed Rate Cut,Dow closes nearly 800 points lower; Treasury yields drop again despite Federal Reserve move
3/3/20,"Fidelity Reports Record Operating Profit, Revenue",Financial firm’s assets under management finished 2019 at $3.2 trillion 
3/3/20,Tornadoes Kill at Least 19 in Tennessee,"‘Nashville is hurting’ as twisters tear through area, causing widespread damage"
3/3/20,Federal Reserve Cuts Rates by Half Percentage Point to Combat Virus Fear,Central bank lowers federal-funds rate range to 1% to 1.25% in its first between-meeting move since the financial crisis
3/3/20,Insulin Giant Aims to Unlock Elusive Obesity-Drug Market,"Novo Nordisk sees a multibillion-dollar opportunity despite skepticism from doctors, patients, insurance companies "
3/3/20,Ice-Fishing Resorts Are on Thin Ice. ‘How Else Do You Make it Through a Minnesota Winter?’,
3/3/20,Netanyahu Holds Lead in Israeli Election but Could Miss Out on a Majority,Another deadlock would prolong nearly a year of political paralysis in Israel
3/3/20,"U.S. Offers Aid, not Missiles, as Turkey Pushes Back Syrian Forces",Washington seeks to reassure ally; Ankara requested Patriot missiles and other American weaponry 
3/3/20,CEO of Saks Parent to Step Down,Helena Foulkes sold businesses and helped pave the way for Hudson’s Bay to go private 
3/3/20,Democrats Head to Polls in 14 States on Super Tuesday,"Bernie Sanders, the front-runner in the presidential primaries so far, seeks to fend off a resurgent Joe Biden"
3/3/20,SoftBank Moves Into Chinese Real Estate,Tech investor put $1 billion each into Beijing apartment-rental firm and online real-estate portal shortly before coronavirus outbreak
3/3/20,Investigators of USA Gymnastics Explore ‘Agent’ Claims,Families of gymnasts Simone Biles and Jordyn Wieber have been asked about the former head of the organization 
3/3/20,China Calls U.S. Restrictions on News Agencies ‘Political Oppression’,Move signals possible escalation of tensions between the two countries over working conditions for journalists
3/3/20,Tornadoes Kill at Least 22 in Tennessee,"‘Nashville is hurting’ after twisters tear through area, causing widespread damage"
3/3/20,Comedian Roy Wood Jr. on Flying With His Young Son,What children—and airplane snacks—can teach us about traveling
3/3/20,Bedding Brand Brooklinen Raises $50 Million from Summit Partners,"Startup says it will use cash to accelerate investments in retail, other areas"
3/3/20,Companies Find Ways to Keep Their Annual Reports From Being a Bore,"Videos, graphics and other elements can provide information in ways that engage and go beyond what regulators request"
3/3/20,Bedding Brand Brooklinen Raises $50 Million From Summit Partners,"Startup says it will use cash to accelerate investments in retail, other areas"
3/3/20,Stocks Extend Drop Despite Surprise Fed Rate Cut,"Dow industrials drop 900 points in volatile trading, Treasury yields fall after Federal Reserve move"
3/3/20,U.S. Ports Likely to See Slump in Cargo Volume From Coronavirus,"Containership operators have canceled nearly 60 trans-Pacific sailings to the ports of Los Angeles and Long Beach, Calif., in the first quarter"
3/3/20,Ice-Fishing Resorts Are on Thin Ice. ‘How Else Do You Make It Through a Minnesota Winter?’,
3/3/20,Erik Nordstrom Named Sole CEO of Nordstrom,"Appointment ends an unusual structure, but keeps control with the family "
3/3/20,Newell Brands Is Investigated by SEC,"Consumer-products company says probe focuses on sales, accounting practices "
3/3/20,Trump Campaign Files Libel Suit Against Washington Post,"Suit follows similar legal action against New York Times, both related to articles referencing the campaign’s interactions with Russia "
3/3/20,Tokyo Olympics Could Be Delayed; Officials Want Starting Gun Fired on Time,"‘We are doing all we can to ensure that the Games go ahead as planned,’ Seiko Hashimoto says "
3/3/20,"Iran’s Stockpile of Enriched Uranium Has Jumped, U.N. Atomic Agency Says",Experts and diplomats warn that Tehran has slashed the time it would need to amass enough fuel for a nuclear weapon
3/3/20,"For Growing Numbers of Struggling U.S. Cities, the Downturn Has Arrived",
3/3/20,Is It Time to Refinance Your Mortgage?,Fears about coronavirus may give homeowners an opportunity to lower their monthly bill 
3/3/20,Why People Are Sharing Their Family Secrets With Strangers in Public,
3/3/20,Sports Must Be Smart About the Coronavirus,"With the pathogen arriving in the U.S., leagues brace for disruption. Common sense is essential. "
3/3/20,Cloudflare Taps Its First CIO,"Juan Rodriguez, hired from Sage Group, is working on integrating data to help with planning and budgeting"
3/3/20,City Halts Court Order to Chop Much of West-Side Condo Tower,Judge had cited zoning violation at 200 Amsterdam project; appellate panel will now take up issue 
3/3/20,Trump Becomes First U.S. President to Speak With Senior Taliban Leader,An Afghan peace process faces many hurdles—including the resumption of Taliban attacks against Afghan forces this week 
3/3/20,Maine Voters Keep Tightened Vaccine Requirements,Ballot measure fails to overturn new immunization law 
3/3/20,Supreme Court Gives States Greater Rights to Prosecute Undocumented Immigrants,"Justices split over the case, which concerns identity theft by undocumented immigrants who provide false Social Security numbers on job applications"
3/3/20,Netanyahu Holds Lead in Israeli Election but Lacks a Majority,Another deadlock would prolong nearly a year of political paralysis in Israel
3/3/20,U.S. Weighs Paying Hospitals for Treating Uninsured Coronavirus Patients,Trump administration may use disaster recovery reimbursement program that would pay providers 110% of Medicare for treating patients 
3/3/20,"U.S. Coronavirus Infections Rise as Cases Outside China Pass 10,000","New cases reported in New York, Georgia as nationwide patient tally tops 100"
3/3/20,Retailers Confront Coronavirus Uncertainty,"Target, Kohl’s are upbeat about 2020 sales outlook despite fears surrounding epidemic"
3/3/20,Vatican Tries to Tamp Down Questions on Pope’s Health,A spokesman said Pope Francis has a cold ‘without symptoms attributable to other pathologies’
3/3/20,Tornadoes Kill at Least 25 in Tennessee,"‘Nashville is hurting’ after twisters tear through area, causing widespread damage"
3/3/20,Plant-Based Meat Makers Compete on Price,Impossible Foods cuts wholesale prices by 15% on average
3/3/20,U.S. Coronavirus Cases Rise; First Death Earlier Than Officials Realized,"New cases reported in New York, Georgia and North Carolina as nationwide patient tally tops 100"
3/3/20,Coronavirus Slams U.S. Hotel Industry’s Global Operations,"Biggest brands like Marriott, Hyatt report declines in Asia businesses; Hilton says outbreak could hurt full-year earnings"
3/3/20,Stocks Swing Sharply After Surprise Fed Rate Cut,"Dow industrials, S&P 500 reverse part of quick rally after Federal Reserve rate move"
3/3/20,Streamer Quibi Raises Additional Funds Ahead of Launch,Latest $350 million in financing brings total raised to $1.75 billion
3/3/20,Lawmakers Push Again for Info on Google Collecting Patient Data,"Sens. Blumenthal, Cassidy and Warren say questions remain unanswered on the tech giant’s health-care project known as ‘Project Nightingale’"
3/3/20,The Best Thing That’s Ever Happened to Roasted Sweet Potatoes,We all need some comfort right now—perhaps some outright indulgence. This recipe delivers both
3/3/20,U.S. Coronavirus Cases Rise; First Deaths Earlier Than Officials Realized,"New cases reported in New York, Arizona, Georgia and North Carolina as nationwide patient tally tops 100"
3/3/20,Lawmakers Push Again for Info on Google’s ‘Project Nightingale’,"Sens. Blumenthal, Cassidy and Warren say many questions remain unanswered on tech giant’s access to patient records"
3/3/20,Federal Reserve Cuts Interest Rates by Half Percentage Point,Central bank lowers federal-funds rate range to 1% to 1.25%
